model_uuid,conv_cnt,linear_cnt,relu_cnt,lrelu_cnt,avg_pooling_cnt,max_pooling_cnt,out_features,linear_input_features,conv_kernel_size_2,conv_kernel_size_3,time
0033bc4b-a796-4456-b3dc-83ac9fe8a0c2,5,1,2,3,1,2,269,6144,5,5,0.0047935962677001
0a2f84d3-9f10-4524-9949-b6295ea7836a,6,3,3,3,1,2,61,1728,6,6,0.0018003463745117
7ea9c12f-4119-4052-9909-036c8bcb0bb9,5,2,0,5,2,0,77,75264,5,5,0.0070005416870117
b16bac62-d4a9-4a43-a5ef-3632ec718b48,4,1,2,2,2,1,275,3888,4,4,0.0025935649871826
2c45af1c-cef0-4706-be25-0a7d5043f6dd,4,2,2,2,1,1,116,13872,4,4,0.0036006450653076
7da86fa4-aa95-4f31-bd7d-94e5a6544941,4,2,3,1,1,1,93,3072,4,4,0.0015997886657714
9e296796-e339-4d4e-a73e-2a9944ef8c93,3,3,0,3,2,0,68,24576,3,3,0.0033929824829101
4baafb24-d4c1-408e-a6d5-4b397b608695,4,2,4,0,1,1,74,9408,4,4,0.0013998508453369
6a4ae87d-2df4-45b2-a11a-1c6beab80d59,6,1,0,6,1,2,236,15552,6,6,0.012192964553833
51f20f1b-c36b-41f6-8e28-f31937ea74f8,4,3,1,3,0,3,18,2352,4,4,0.0022002220153808
3b72a935-0ee0-4d5c-8ca0-584c37dd88bb,5,3,1,4,1,2,68,6144,5,5,0.0024003505706787
727ea2e1-6eaa-4e11-b42f-77079132dba1,3,1,1,2,1,2,183,6144,3,3,0.0021999835968017
61d341c4-39b5-4248-ad9b-064442aed2b4,6,3,1,5,2,1,55,9408,6,6,0.0028566360473632
974aeed8-bcb0-4f57-b76b-e6fe398a5aa3,2,2,2,0,0,2,36,3468,2,2,0.0010004997253417
3a14be6e-01db-456f-bc72-05836cb9d1c2,8,1,8,0,0,3,252,6912,8,8,0.0076001167297363
2ab81b74-865b-4857-bb9b-3ba62114007b,5,2,2,3,0,2,26,18816,5,5,0.0051990509033203
e3edbab5-d856-48b9-8e9f-5c85b44684c3,5,3,2,3,0,2,46,1536,5,5,0.0038000583648681
20bd4e1d-9ad2-43a4-b063-806049c75bdb,6,2,6,0,1,2,107,1728,6,6,0.0024000644683837
78ad404d-5ebb-4819-85d2-e49222f6acfd,6,3,5,1,0,3,42,43200,6,6,0.0088006019592285
9928040c-560d-4e1b-bb29-7ec612345482,2,1,2,0,2,0,111,13872,2,2,0.0014002323150634
83f85ed4-0ccd-4fec-8579-d92e3119dc49,4,3,1,3,0,2,9,10800,4,4,0.002599811553955
0f6ce7e2-24f7-4522-b4e0-1b96096f0879,5,3,2,3,0,2,55,92256,5,5,0.0102004051208496
3f3ca353-f59a-4644-9ebb-f279abf3f3ef,4,1,4,0,1,1,203,13872,4,4,0.0019941329956054
c33c1745-ba69-406a-b20c-0f84df0f99ff,7,2,4,3,1,2,111,1536,7,7,0.0031999588012695
322e5a4f-d36c-43cf-8443-f26a0cdcc49e,6,3,4,2,0,3,52,4800,6,6,0.001600170135498
2c78b95d-5c6c-4e29-96e3-5833ebcc20a7,4,1,2,2,2,0,117,768,4,4,0.0019999980926513
15710f8b-848b-4789-a67d-255ae4f0accf,5,2,3,2,2,0,77,3456,5,5,0.0016004562377929
a8a3ed55-618c-44a8-8268-96b95c2950e0,5,1,0,5,1,2,174,16224,5,5,0.003799295425415
c00dcac8-5634-45cc-9ff8-ebaaeb3adfd0,4,1,1,3,0,3,296,1728,4,4,0.001399803161621
5ca11ace-6a5c-436c-83c4-db26afc441f2,5,1,1,4,2,1,286,31104,5,5,0.0100002288818359
39cc376b-43fb-454a-a43c-05fa35c0bbb2,5,2,4,1,3,0,92,7776,5,5,0.0026008605957031
7eca6844-6b46-445e-868f-cd5b4e3bdcb8,6,3,2,4,0,3,20,9408,6,6,0.0048008441925048
33f226f1-31d7-4463-81c0-b8fde394c3cc,6,3,6,0,0,2,35,15552,6,6,0.0039999961853027
051a5788-35d8-4439-a097-37d8849d0d19,6,3,3,3,0,2,66,1728,6,6,0.0017993450164794
43d9fa9a-6902-4cbd-8a14-2bf607c41bf6,4,2,0,4,0,2,73,10800,4,4,0.0040005683898925
9fdd195f-4e9a-49ce-87c2-3337c18520ef,4,2,1,3,1,1,16,2352,4,4,0.0021635055541992
7416509f-c392-4a07-853c-a48ccabc093f,4,1,2,2,0,3,266,184512,4,4,0.0215936660766601
dd2a7f12-3691-4b70-9421-83c04cdea920,6,2,3,3,2,1,91,172800,6,6,0.0169933319091796
ff6c0dd5-509c-4f4c-91b1-25d9c70cc66b,9,2,6,3,3,0,36,24576,9,9,0.0091945171356201
cda83eb7-ab5d-47bf-a9a7-0c6591587842,5,3,5,0,0,2,34,4704,5,5,0.0037997722625732
7d47013d-0574-471c-aa69-509f8de9587f,7,3,6,1,2,1,39,322944,7,7,0.0387999534606933
f200ebd1-76b7-4131-aec0-5d760ae22dd6,6,3,6,0,1,1,9,32448,6,6,0.0051932334899902
dd82e3fb-fc8d-46d0-a22c-6340b2655464,6,1,6,0,1,1,207,49152,6,6,0.009600830078125
